Date,Open,High,Low,Close,Volume,Adj Close
1/27/2011,1297.51,1301.29,1294.41,1299.54,430.91,1299.54
1/28/2011,1299.63,1302.67,1275.09,1276.33,561.86,1276.33
1/31/2011,1276.5,1287.17,1276.5,1286.11,416.71,1286.11
2/1/2011,1289.14,1308.85,1289.14,1307.58,516.45,1307.58
2/2/2011,1305.91,1307.6,1302.61,1304.03,409.82,1304.03
2/3/2011,1302.77,1308.59,1294.82,1307.09,437.09,1307.09
2/4/2011,1307.01,1311,1301.67,1310.86,392.59,1310.86
2/7/2011,1311.84,1322.84,1311.84,1319.05,390.22,1319.05
2/8/2011,1318.76,1324.86,1316.03,1324.56,388.15,1324.56
2/9/2011,1322.47,1324.54,1314.89,1320.88,392.22,1320.88
2/10/2011,1318.13,1322.78,1311.73,1321.86,418.46,1321.86
2/11/2011,1318.66,1330.79,1316.07,1329.15,421.93,1329.15
2/14/2011,1328.72,1332.95,1326.9,1332.31,356.7,1332.31
2/15/2011,1330.43,1330.43,1324.6,1328.01,392.68,1328.01
2/16/2011,1329.51,1337.6,1329.51,1336.31,196.64,1336.31
2/17/2011,1334.36,1341.5,1331,1340.43,196.64,1340.43
2/18/2011,1340.38,1344.06,1338.11,1343.01,116.23,1343.01
2/22/2011,1338.91,1338.91,1312.32,1315.43,132.27,1315.43
2/23/2011,1315.43,1317.91,1299.55,1307.4,133.03,1307.4
2/24/2011,1307.08,1310.91,1294.26,1306.09,122.29,1306.09
2/25/2011,1307.33,1320.6,1307.33,1319.88,383.6,1319.88
2/28/2011,1321.6,1329.38,1320.55,1327.21,125.28,1327.21
3/1/2011,1328.64,1332.08,1306.14,1306.32,118.04,1306.32
3/2/2011,1305.46,1314.18,1302.57,1308.43,102.5,1308.43
3/3/2011,1312.36,1332.28,1312.36,1330.96,434.04,1330.96
3/4/2011,1330.72,1331.07,1312.58,1321.15,422.37,1321.15
3/7/2011,1322.71,1327.68,1303.98,1310.13,396.47,1310.13
3/8/2011,1311.05,1325.73,1306.85,1321.81,453.14,1321.81
3/9/2011,1319.92,1323.2,1312.27,1320.02,370.95,1320.02
3/10/2011,1315.71,1315.71,1294.2,1295.1,472.3,1295.1
3/11/2011,1293.43,1308.34,1291.98,1304.28,374.04,1304.28
3/14/2011,1301.18,1301.18,1286.36,1296.39,405.03,1296.39
3/15/2011,1288.45,1288.45,1261.11,1281.86,520.14,1281.86
3/16/2011,1279.45,1280.91,1249.05,1256.88,583.3,1256.88
3/17/2011,1261.6,1278.88,1261.6,1273.71,413.49,1273.71
3/18/2011,1276.7,1288.88,1276.18,1279.2,468.55,1279.2
3/21/2011,1281.65,1300.57,1281.65,1298.38,422.37,1298.38
3/22/2011,1298.29,1299.34,1292.69,1293.77,357.65,1293.77
3/23/2011,1292.18,1300.51,1284.05,1297.54,384.23,1297.54
3/24/2011,1300.6,1311.33,1297.73,1309.66,422.37,1309.66
3/25/2011,1311.8,1319.18,1310.15,1313.8,422.37,1313.8
3/28/2011,1315.44,1319.73,1310.18,1310.18,321.51,1310.18
3/29/2011,1309.36,1319.44,1305.26,1319.43,348.25,1319.43
3/30/2011,1321.89,1331.73,1321.89,1328.26,380.95,1328.26
3/31/2011,1327.43,1329.77,1325.03,1325.82,356.62,1325.82
4/1/2011,1329.47,1337.84,1328.89,1332.41,422.37,1332.41
4/4/2011,1333.56,1336.73,1329.09,1332.86,422.37,1332.86
4/5/2011,1332.03,1338.2,1330.03,1332.63,385.22,1332.63
4/6/2011,1335.93,1339.38,1331.08,1335.54,422.37,1335.54
4/7/2011,1334.81,1338.8,1326.56,1333.51,400.56,1333.51
4/8/2011,1336.16,1339.45,1322.93,1328.17,358.28,1328.17
4/11/2011,1329.01,1333.77,1321.06,1324.45,347.89,1324.45
4/12/2011,1321.95,1321.95,1309.51,1314.16,427.54,1314.16
4/13/2011,1314.03,1321.34,1309.18,1314.41,385.08,1314.41
4/14/2011,1311.13,1316.79,1302.42,1314.52,387.26,1314.52
4/15/2011,1314.54,1322.88,1313.68,1319.68,422.37,1319.68
4/18/2011,1313.34,1313.34,1294.69,1305.14,422.37,1305.14
4/19/2011,1305.98,1312.69,1303.96,1312.61,388.63,1312.61
4/20/2011,1319.11,1332.66,1319.11,1330.35,423.62,1330.35
4/21/2011,1333.22,1337.48,1332.82,1337.38,358.72,1337.38
